,target,ood,m_n,avg_error,std_error,summary,config,name
29,P,S,3,0.6034,0.0199,"{'std_err': 0.0199, '_step': 1020, 'avg_err': 0.6034, 'run_num': 9, '_wandb': {'runtime': 2410}, '_runtime': 2411.491508960724, 'train_acc': 1, '_timestamp': 1663536778.934187, 'train_loss': 0.0054, 'm': 90, 'n': 30, 'epoch': 100, 'final_test_err': 0.5914221218961626}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 3, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",bvrv36wv
30,P,S,2,0.5795,0.0311,"{'n': 30, 'epoch': 100, 'run_num': 9, '_runtime': 1924.4604358673096, '_timestamp': 1663536290.75798, 'train_loss': 0.0032, 'final_test_err': 0.5981941309255079, 'm': 60, '_step': 1020, '_wandb': {'runtime': 1923}, 'avg_err': 0.5795, 'std_err': 0.0311, 'train_acc': 1}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 2, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2nisbvh1
31,P,S,1,0.5648,0.0158,"{'std_err': 0.0158, '_runtime': 1423.641615152359, 'train_acc': 1, '_timestamp': 1663535346.618611, 'train_loss': 0.0263, 'final_test_err': 0.5575620767494356, 'epoch': 100, 'n': 30, '_step': 1020, '_wandb': {'runtime': 1422}, 'avg_err': 0.5648, 'run_num': 9, 'm': 30}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 1, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",nykk378c
32,P,S,0,0.5801,0.0194,"{'n': 30, '_wandb': {'runtime': 918}, 'avg_err': 0.5801, 'run_num': 9, 'std_err': 0.0194, '_timestamp': 1663534362.1325734, 'train_loss': 0.0027, 'm': 0, 'epoch': 100, '_runtime': 919.0305123329164, 'train_acc': 1, 'final_test_err': 0.5485327313769752, '_step': 1020}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 0, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",27tm47sw
33,P,C,10,0.5747,0.0364,"{'m': 300, 'n': 30, 'epoch': 100, 'std_err': 0.0364, 'train_acc': 1, '_timestamp': 1663538120.021294, 'train_loss': 0.0023, 'final_test_err': 0.5778781038374718, '_step': 1020, '_wandb': {'runtime': 5140}, 'avg_err': 0.5747, 'run_num': 9, '_runtime': 5141.874821901321}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 10, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",231xma14
34,P,C,0,0.5801,0.0194,"{'final_test_err': 0.5485327313769752, 'm': 0, 'n': 30, '_wandb': {'runtime': 914}, 'run_num': 9, 'train_acc': 1, '_timestamp': 1663532972.3107195, 'train_loss': 0.0027, '_step': 1020, 'epoch': 100, 'avg_err': 0.5801, 'std_err': 0.0194, '_runtime': 914.9342906475068}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 0, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",cu5o39ge
35,P,C,8,0.5777,0.0279,"{'epoch': 100, '_wandb': {'runtime': 4490}, 'run_num': 9, 'std_err': 0.0279, '_runtime': 4491.020532846451, 'train_loss': 0.0014, 'm': 240, 'n': 30, '_step': 1020, 'avg_err': 0.5777, 'train_acc': 1, '_timestamp': 1663536548.481984, 'final_test_err': 0.5553047404063205}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 8, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",7uqavyyn
36,P,C,1,0.5686,0.0199,"{'epoch': 100, 'avg_err': 0.5686, 'run_num': 9, 'std_err': 0.0199, '_runtime': 1379.5585613250732, 'train_acc': 1, 'm': 30, 'n': 30, '_step': 1020, '_wandb': {'runtime': 1379}, '_timestamp': 1663533436.9243524, 'train_loss': 0.0332, 'final_test_err': 0.5372460496613995}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 1, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3ld7celi
37,P,C,9,0.5722,0.0369,"{'final_test_err': 0.5395033860045146, 'm': 270, '_step': 1020, 'avg_err': 0.5722, 'run_num': 9, '_timestamp': 1663536991.5687988, 'train_acc': 1, 'train_loss': 0.0018, 'n': 30, 'epoch': 100, '_wandb': {'runtime': 4933}, 'std_err': 0.0369, '_runtime': 4934.192334890366}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 9, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3brdg5og
38,P,C,2,0.5684,0.0189,"{'m': 60, 'n': 30, 'avg_err': 0.5684, 'run_num': 9, 'train_acc': 1, '_timestamp': 1663533914.975258, 'train_loss': 0.0067, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 1857}, 'std_err': 0.0189, '_runtime': 1857.601140975952, 'final_test_err': 0.54627539503386}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 2, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",38zag88d
39,P,C,4,0.5795,0.0167,"{'epoch': 100, 'run_num': 9, 'std_err': 0.0167, 'train_acc': 1, '_timestamp': 1663534831.7994304, 'train_loss': 0.0109, 'final_test_err': 0.5846501128668171, '_step': 1020, 'n': 30, '_wandb': {'runtime': 2774}, 'avg_err': 0.5795, '_runtime': 2774.4220173358917, 'm': 120}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 4, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1l7ay7jj
40,P,C,5,0.5686,0.0242,"{'_step': 1020, 'run_num': 9, '_runtime': 3236.3375096321106, 'train_acc': 1, '_timestamp': 1663535294.0161517, 'train_loss': 0.0124, 'm': 150, 'epoch': 100, '_wandb': {'runtime': 3235}, 'avg_err': 0.5686, 'std_err': 0.0242, 'final_test_err': 0.582392776523702, 'n': 30}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 5, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1gc3fhwg
41,P,C,3,0.5684,0.0136,"{'avg_err': 0.5684, 'run_num': 9, 'std_err': 0.0136, '_runtime': 2303.719673871994, 'train_acc': 1, 'm': 90, '_step': 1020, 'epoch': 100, 'train_loss': 0.007, 'final_test_err': 0.5665914221218962, 'n': 30, '_wandb': {'runtime': 2303}, '_timestamp': 1663534361.096849}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 3, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1etfl25j
42,P,C,6,0.5822,0.0219,"{'std_err': 0.0219, 'train_acc': 1, '_timestamp': 1663535782.0449424, 'train_loss': 0.0084, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 3724}, 'avg_err': 0.5822, 'final_test_err': 0.5891647855530474, 'm': 180, 'n': 30, 'run_num': 9, '_runtime': 3724.6707813739777}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 6, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1bvktoxb
43,P,C,7,0.5747,0.0215,"{'train_acc': 1, '_timestamp': 1663536023.591858, 'train_loss': 0.0026, 'm': 210, 'avg_err': 0.5747, 'std_err': 0.0215, '_wandb': {'runtime': 3965}, 'run_num': 9, '_runtime': 3966.214015960694, 'final_test_err': 0.5778781038374718, 'n': 30, '_step': 1020, 'epoch': 100}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 7, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1aqs0xdo
