,m_n,avg_error,std_error,task,sigma,summary,config,name
541,5,0.2888,0.0267,4,4,"{'run_num': 9, 'std_err': 0.0267, '_runtime': 743.7896435260773, 'train_acc': 0.8083, '_timestamp': 1661807279.7778783, 'train_loss': 0.4304, 'final_test_err': 0.3105, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 743}, 'avg_err': 0.2888}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 4, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",240psqfy
542,10,0.3144,0.0292,4,4,"{'std_err': 0.0292, '_runtime': 827.6409742832184, 'train_loss': 0.3924, 'final_test_err': 0.30700000000000005, '_wandb': {'runtime': 827}, 'epoch': 100, 'avg_err': 0.3144, 'run_num': 9, 'train_acc': 0.83, '_timestamp': 1661807435.3555803, '_step': 1010}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 4, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2rkuxhkg
543,20,0.3235,0.0263,4,4,"{'_wandb': {'runtime': 968}, '_timestamp': 1661807622.6613393, 'epoch': 100, 'avg_err': 0.3235, 'run_num': 9, 'std_err': 0.0263, '_runtime': 969.4910283088684, 'train_acc': 0.8676, 'train_loss': 0.3198, 'final_test_err': 0.30900000000000005, '_step': 1010}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 4, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1u3y2v00
544,0,0.2915,0.0288,4,5,"{'epoch': 100, '_wandb': {'runtime': 518}, 'avg_err': 0.2915, 'run_num': 9, 'std_err': 0.0288, 'train_loss': 0.4744, '_step': 1010, '_runtime': 519.3302998542786, 'train_acc': 0.81, '_timestamp': 1661808909.3263228, 'final_test_err': 0.26949999999999996}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 5, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",3nr9tdis
545,1,0.295,0.0221,4,5,"{'_runtime': 549.1562440395355, 'train_acc': 0.73, '_timestamp': 1661808945.85525, 'train_loss': 0.5552, 'epoch': 100, '_wandb': {'runtime': 548}, 'avg_err': 0.295, 'std_err': 0.0221, 'final_test_err': 0.2945, '_step': 1010, 'run_num': 9}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 5, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",16iaus1u
546,2,0.2914,0.0227,4,5,"{'avg_err': 0.2914, 'std_err': 0.0227, 'train_acc': 0.7533, 'train_loss': 0.5077, 'epoch': 100, '_wandb': {'runtime': 566}, '_runtime': 567.2437725067139, '_timestamp': 1661809083.4879656, 'final_test_err': 0.27349999999999997, '_step': 1010, 'run_num': 9}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 5, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",24pmr3zx
547,3,0.2842,0.0221,4,5,"{'_timestamp': 1661809221.181356, 'epoch': 100, '_wandb': {'runtime': 696}, 'std_err': 0.0221, '_runtime': 697.2973699569702, 'train_loss': 0.4638, 'final_test_err': 0.27649999999999997, '_step': 1010, 'avg_err': 0.2842, 'run_num': 9, 'train_acc': 0.8025}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 5, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2txq3kc3
548,4,0.292,0.0165,4,5,"{'avg_err': 0.292, 'run_num': 9, 'std_err': 0.0165, 'train_acc': 0.808, '_timestamp': 1661809478.675923, 'train_loss': 0.45, '_step': 1010, 'epoch': 100, 'final_test_err': 0.2885, '_wandb': {'runtime': 716}, '_runtime': 717.147762298584}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 5, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1tbhql04
549,5,0.2932,0.0254,4,5,"{'_step': 1010, 'epoch': 100, 'avg_err': 0.2932, 'run_num': 9, 'std_err': 0.0254, '_runtime': 749.1718056201935, 'train_loss': 0.4162, '_wandb': {'runtime': 748}, 'train_acc': 0.8183, '_timestamp': 1661809548.2901316, 'final_test_err': 0.30200000000000005}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 5, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2uanvri1
550,10,0.3135,0.0323,4,5,"{'_wandb': {'runtime': 824}, 'std_err': 0.0323, 'train_loss': 0.4011, 'final_test_err': 0.33799999999999997, 'epoch': 100, 'avg_err': 0.3135, 'run_num': 9, '_runtime': 825.3746190071106, 'train_acc': 0.8318, '_timestamp': 1661809710.716387, '_step': 1010}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 5, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1k8askq5
551,20,0.3304,0.0276,4,5,"{'_step': 1010, '_wandb': {'runtime': 965}, 'avg_err': 0.3304, 'run_num': 9, 'std_err': 0.0276, 'train_acc': 0.8571, '_timestamp': 1661809881.4762175, 'epoch': 100, '_runtime': 966.3550746440887, 'train_loss': 0.339, 'final_test_err': 0.362}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 5, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",pl0wrzb0
552,0,0.2915,0.0288,4,6,"{'epoch': 100, '_wandb': {'runtime': 519}, 'run_num': 9, 'train_acc': 0.81, '_step': 1010, 'avg_err': 0.2915, 'std_err': 0.0288, '_runtime': 520.4014122486115, '_timestamp': 1661811171.5303524, 'train_loss': 0.4744, 'final_test_err': 0.26949999999999996}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 6, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",loku013b
553,1,0.2966,0.0245,4,6,"{'train_loss': 0.5643, '_step': 1010, '_wandb': {'runtime': 548}, 'run_num': 9, 'train_acc': 0.72, '_timestamp': 1661811220.5450044, 'final_test_err': 0.2965, 'epoch': 100, 'avg_err': 0.2966, 'std_err': 0.0245, '_runtime': 549.6204192638397}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 6, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",27sjmsgy
554,2,0.2958,0.0243,4,6,"{'run_num': 9, 'std_err': 0.0243, '_runtime': 581.674458026886, 'train_loss': 0.5182, 'final_test_err': 0.278, '_step': 1010, 'epoch': 100, 'avg_err': 0.2958, '_wandb': {'runtime': 580}, 'train_acc': 0.7533, '_timestamp': 1661811379.76388}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 6, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2ytm94ea
555,3,0.2919,0.0187,4,6,"{'avg_err': 0.2919, 'std_err': 0.0187, '_runtime': 693.9577651023865, 'train_acc': 0.805, 'train_loss': 0.4747, '_step': 1010, 'epoch': 100, '_timestamp': 1661811520.495547, 'final_test_err': 0.27649999999999997, '_wandb': {'runtime': 692}, 'run_num': 9}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 6, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",e6ly3cee
556,4,0.2911,0.0184,4,6,"{'_step': 1010, 'std_err': 0.0184, 'train_loss': 0.4588, 'epoch': 100, '_wandb': {'runtime': 714}, 'avg_err': 0.2911, 'run_num': 9, '_runtime': 715.5734379291534, 'train_acc': 0.792, '_timestamp': 1661811703.921373, 'final_test_err': 0.2895}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 6, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",3gxuw8n5
557,5,0.2996,0.0287,4,6,"{'train_acc': 0.8033, 'avg_err': 0.2996, 'run_num': 9, '_runtime': 743.0027108192444, 'std_err': 0.0287, '_timestamp': 1661811757.68494, 'train_loss': 0.436, 'final_test_err': 0.2905, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 741}}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 6, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",3owzett1
558,10,0.3195,0.0261,4,6,"{'train_acc': 0.8318, 'train_loss': 0.4042, 'final_test_err': 0.3225, '_wandb': {'runtime': 833}, 'run_num': 9, 'avg_err': 0.3195, 'std_err': 0.0261, '_runtime': 833.6779353618622, '_timestamp': 1661811991.109805, '_step': 1010, 'epoch': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 6, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1jx0ed98
559,20,0.3261,0.0327,4,6,"{'_timestamp': 1661812155.4278247, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 978}, 'avg_err': 0.3261, 'run_num': 9, 'std_err': 0.0327, 'train_acc': 0.84, '_runtime': 979.0156898498536, 'train_loss': 0.3626, 'final_test_err': 0.3824999999999999}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 6, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",rhimikw4
560,0,0.2915,0.0288,4,7,"{'run_num': 9, 'std_err': 0.0288, '_timestamp': 1661813463.9471917, 'epoch': 100, '_wandb': {'runtime': 538}, 'avg_err': 0.2915, 'train_loss': 0.4744, 'final_test_err': 0.26949999999999996, '_step': 1010, '_runtime': 538.4414355754852, 'train_acc': 0.81}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 7, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",6am6sdid
561,1,0.2952,0.0276,4,7,"{'epoch': 100, '_wandb': {'runtime': 566}, 'avg_err': 0.2952, 'std_err': 0.0276, 'train_acc': 0.71, '_timestamp': 1661813496.6330557, 'train_loss': 0.5695, 'final_test_err': 0.29800000000000004, '_step': 1010, 'run_num': 9, '_runtime': 566.798095703125}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 7, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2u5q0y0z
562,2,0.2943,0.0242,4,7,"{'_step': 1010, 'run_num': 9, 'std_err': 0.0242, 'final_test_err': 0.27449999999999997, '_timestamp': 1661813699.7913451, 'train_loss': 0.5216, 'epoch': 100, '_wandb': {'runtime': 587}, 'avg_err': 0.2943, '_runtime': 588.1240680217743, 'train_acc': 0.7567}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 7, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",yuv4c6ic
563,3,0.2938,0.021,4,7,"{'epoch': 100, 'avg_err': 0.2938, 'std_err': 0.021, 'train_acc': 0.77, 'train_loss': 0.4939, '_step': 1010, '_wandb': {'runtime': 692}, 'run_num': 9, '_runtime': 693.5683646202087, '_timestamp': 1661813808.5450397, 'final_test_err': 0.273}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 7, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1f749zi3
564,4,0.2904,0.014,4,7,"{'_runtime': 747.413268327713, 'train_acc': 0.784, 'train_loss': 0.4628, 'final_test_err': 0.28600000000000003, 'avg_err': 0.2904, 'std_err': 0.014, '_wandb': {'runtime': 746}, 'run_num': 9, '_timestamp': 1661814029.3379853, '_step': 1010, 'epoch': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 7, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",3i7mblio
565,5,0.3014,0.028,4,7,"{'std_err': 0.028, '_timestamp': 1661814055.054389, 'avg_err': 0.3014, 'run_num': 9, '_wandb': {'runtime': 760}, '_runtime': 760.8360469341278, 'train_acc': 0.7967, 'train_loss': 0.4522, 'final_test_err': 0.30200000000000005, '_step': 1010, 'epoch': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 7, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",kpnp17dg
566,10,0.3206,0.024,4,7,"{'_step': 1010, 'std_err': 0.024, '_runtime': 854.0621168613434, '_timestamp': 1661814308.790825, 'train_loss': 0.4178, 'final_test_err': 0.33199999999999996, 'epoch': 100, '_wandb': {'runtime': 853}, 'avg_err': 0.3206, 'run_num': 9, 'train_acc': 0.8227}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 7, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1qjlpo1x
567,20,0.3342,0.0332,4,7,"{'_step': 1010, 'avg_err': 0.3342, 'run_num': 9, '_runtime': 986.467119693756, 'train_acc': 0.8314, 'train_loss': 0.3766, 'epoch': 100, '_wandb': {'runtime': 986}, 'std_err': 0.0332, '_timestamp': 1661814456.8602197, 'final_test_err': 0.391}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 7, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",14s5aq8v
568,0,0.2915,0.0288,4,8,"{'epoch': 100, '_wandb': {'runtime': 538}, 'avg_err': 0.2915, 'run_num': 9, 'std_err': 0.0288, '_runtime': 539.4147579669952, '_timestamp': 1661815773.3880029, 'train_loss': 0.4744, '_step': 1010, 'train_acc': 0.81, 'final_test_err': 0.26949999999999996}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 8, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2zo1plcg
569,1,0.2948,0.0277,4,8,"{'run_num': 9, 'std_err': 0.0277, 'train_acc': 0.68, 'train_loss': 0.5728, 'epoch': 100, 'avg_err': 0.2948, '_runtime': 566.2554683685303, '_timestamp': 1661815805.319477, 'final_test_err': 0.29700000000000004, '_step': 1010, '_wandb': {'runtime': 565}}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 8, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",uvygjl9l
570,2,0.2944,0.0237,4,8,"{'_step': 1010, 'avg_err': 0.2944, 'std_err': 0.0237, '_runtime': 576.7695865631104, 'epoch': 100, '_wandb': {'runtime': 576}, 'run_num': 9, 'train_acc': 0.7267, '_timestamp': 1661815970.9938116, 'train_loss': 0.5309, 'final_test_err': 0.281}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 8, 'target': 4, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",9nyiddnq
